Producto,Bodega,País,Mundo,Tipo,URL
Crianza,Valdubón,España,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/valdubon-crianza/
Trocken Riesling,Schloss Johannisberg Gelblack,Alemania,Viejo Mundo,,https://vvb.com.mx/wp/producto/schloss-johannisberg-gelblack-trocken-riesling/
Liebfraumilch,Reh Kendermann,Alemania,Viejo Mundo,,https://vvb.com.mx/wp/producto/reh-kendermann-liebfraumilch/
Oppenheimer Krötenbrunnen,Reh Kendermann,Alemania,Viejo Mundo,,https://vvb.com.mx/wp/producto/reh-kendermann-oppenheimer-krotenbrunnen/
Brut,Henkell,Alemania,Viejo Mundo,Brut,https://vvb.com.mx/wp/producto/henkell-brut/
Blanc de Blancs,Henkell,Alemania,Viejo Mundo, Espumoso,https://vvb.com.mx/wp/producto/henkell-blanc-de-blancs/
Halbtrocken,Henkell,Alemania,Viejo Mundo, Espumoso,https://vvb.com.mx/wp/producto/henkell-haltbrocken/
Crianza,Beso de Rechenna,Sin Categorizar,Sin Categorizar,Tinto ,https://vvb.com.mx/wp/producto/beso-de-rechenna-tinto/
Vendimia Seleccionda,Resalte,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/resalte-vendimia-seleccionda/
Gran Resalte,Resalte,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/resalte-gran-resalte/
Godello,Dominio de Tares,España,Viejo Mundo,Blanco,https://vvb.com.mx/wp/producto/dominio-de-tares-godello/
Cepas Viejas,Dominio de Tares,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/dominio-de-tares-cepas-viejas/
Baltos,Dominio de Tares,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/dominio-de-tares-baltos-mencia/
Bembibre,Dominio de Tares,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/dominio-de-tares-bembibre/
Selección,Borsao,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/borsao-seleccion/
Tinto Clásico,Borsao,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/borsao-tinto-clasico/
Tres Picos,Borsao,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/borsao-garnacha-tres-picos/
Valpolicella Classico Sup. DOCG Ripasso,Tommasi,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/tommasi-valpolicella-clasico-sup-docg-ripasso/
Valpolicella DOC,Tommasi,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/tommasi-valpolicella-doc/
Montepulciano D’ Abruzzo,Umani Ronchi Podere,Italia,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/umani-ronchi-podere-montepulciano-d-abruzzo/
Fernet Stock,Stock,Italia,Viejo Mundo,  ,https://vvb.com.mx/wp/producto/stock-fernet-stock/
Vermouth Dry,Pinelli,Italia,Viejo Mundo,  ,https://vvb.com.mx/wp/producto/pinelli-vermouth-dry/
Lambrusco Tinto,Monteberín,Italia,Viejo Mundo,Espumoso ,https://vvb.com.mx/wp/producto/monteberin-lambrusco-tinto/
Barbera D’ Alba,Oddero,Italia,Viejo Mundo,  ,https://vvb.com.mx/wp/producto/oddero-barbera-d-alba/
Barolo DOCG,Oddero,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/oddero-barolo/
Langhee Nebbiolo,Oddero,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/oddero-langhee-nebbiolo/
Dolcetto D’ Alba,Oddero,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/oddero-dolcetto-d-alba/
Vermouth Rosso,Pinelli,Italia,Viejo Mundo,  ,https://vvb.com.mx/wp/producto/pinelli-vermouth-rosso/
Lambrusco Tinto,Bella Passione,Italia,Viejo Mundo, Lambrusco,https://vvb.com.mx/wp/producto/bella-passione-lambrusco-tinto-2/
Lambrusco Blanco,Bella Passione,Italia,Viejo Mundo, Lambrusco,https://vvb.com.mx/wp/producto/bella-passione-lambrusco-blanco-2/
Lambrusco Rosado,Bella Passione,Italia,Viejo Mundo, Lambrusco,https://vvb.com.mx/wp/producto/bella-passione-lambrusco-rosado-2/
Prosecco,Pinelli,Italia,Viejo Mundo,Blanco Espumoso,https://vvb.com.mx/wp/producto/pinelli-prosecco/
Passion,Pinelli,Italia,Viejo Mundo,Blanco Espumoso,https://vvb.com.mx/wp/producto/pinelli-passion/
Moscato Spumante,Pinelli,Italia,Viejo Mundo,Blanco Espumoso,https://vvb.com.mx/wp/producto/pinelli-moscato-spumante/
Asti Spumante,Pinelli,Italia,Viejo Mundo,Blanco Espumoso,https://vvb.com.mx/wp/producto/pinelli-asti-spumante/
Grappa Piave «Selezione Cuore»,Piave,Italia,Viejo Mundo, Aguardiente de Orujo,https://vvb.com.mx/wp/producto/piave-grappa-piave-selezione-cuore/
Le Rosse Pinot Grigio IGT Delle Venezie,Tommasi,Italia,Viejo Mundo,Blanco ,https://vvb.com.mx/wp/producto/tommasi-le-rosse-pinot-grigio-igt-delle-venezie/
Expresión,Resalte,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/resalte-expresion/
Casisano Rosso di Montalcino DOC,Tommasi,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/tommasi-casisano-rosso-di-montalcino-doc/
Amarone Della Valpolicella Classico DOCG,Tommasi,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/tommasi-amarone-della-valpolicella-classico-docg/
Casisano Brunello di Montalcino DOCG,Tommasi,Italia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/tommasi-casisano-brunello-di-montalcino-docg/
